Kód obce,Název obce,Voliči v seznamu,Vydané obálky,Platné hlasy,Občanská demokratická strana,Řád národa - Vlastenecká unie,Česká str.sociálně demokrat.,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Referendum o Evropské unii,TOP 09,ANO 2011,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
554499,Aš,9 766,4 289,4 254,"6,48 %","0,86 %","5,14 %","3,97 %","8,67 %","3,64 %","1,24 %","1,01 %","0,37 %","0,47 %","8,76 %","0,23 %","3,59 %","40,12 %","0,30 %","2,20 %","0,35 %","0,09 %","0,07 %","12,10 %","0,23 %"
554502,Dolní Žandov,943,532,528,"5,87 %","0,56 %","4,35 %","3,97 %","17,61 %","0,56 %","1,89 %","1,13 %","0,00 %","0,00 %","9,84 %","0,00 %","3,03 %","35,60 %","0,75 %","1,89 %","0,94 %","0,37 %","0,75 %","10,60 %","0,18 %"
554511,Drmoul,769,486,481,"10,18 %","0,41 %","4,57 %","8,73 %","6,44 %","0,41 %","0,62 %","1,24 %","0,00 %","0,00 %","10,60 %","0,00 %","2,28 %","37,62 %","0,20 %","4,57 %","0,62 %","0,00 %","0,62 %","10,60 %","0,20 %"
554529,Františkovy Lázně,4 700,2 905,2 886,"11,78 %","0,24 %","5,99 %","4,22 %","7,10 %","1,24 %","0,93 %","1,00 %","0,17 %","0,76 %","11,67 %","0,17 %","4,92 %","33,50 %","0,51 %","2,59 %","0,55 %","0,38 %","0,17 %","11,36 %","0,65 %"
554545,Hazlov,1 239,638,626,"5,91 %","0,15 %","4,63 %","3,99 %","12,30 %","0,95 %","1,59 %","1,91 %","0,15 %","0,31 %","8,46 %","0,31 %","1,59 %","37,38 %","0,15 %","4,15 %","0,00 %","0,00 %","0,00 %","15,97 %","0,00 %"
554553,Hranice,1 677,706,698,"5,87 %","0,42 %","8,30 %","1,71 %","11,31 %","2,29 %","2,57 %","1,00 %","0,14 %","0,57 %","9,59 %","0,28 %","2,00 %","41,40 %","0,28 %","0,42 %","0,14 %","0,28 %","0,28 %","10,74 %","0,28 %"
554481,Cheb,23 954,12 225,12 153,"7,68 %","0,46 %","7,44 %","7,69 %","9,84 %","1,60 %","0,57 %","1,02 %","0,18 %","0,18 %","9,38 %","0,07 %","3,12 %","34,46 %","0,25 %","2,39 %","0,57 %","0,13 %","0,36 %","12,25 %","0,23 %"
538795,Krásná,474,264,262,"1,90 %","0,00 %","4,19 %","5,34 %","7,63 %","2,29 %","0,76 %","0,38 %","0,76 %","1,52 %","7,63 %","0,00 %","2,67 %","52,67 %","0,00 %","0,38 %","0,38 %","0,00 %","0,00 %","11,45 %","0,00 %"
554596,Křižovatka,210,118,118,"2,54 %","0,84 %","14,40 %","7,62 %","16,10 %","0,00 %","1,69 %","0,00 %","0,00 %","0,00 %","1,69 %","0,00 %","0,84 %","46,61 %","0,00 %","1,69 %","0,00 %","0,00 %","0,00 %","5,93 %","0,00 %"
554600,Lázně Kynžvart,1 228,613,608,"8,05 %","0,82 %","7,56 %","3,12 %","11,67 %","1,48 %","0,49 %","0,65 %","0,00 %","0,00 %","13,32 %","0,00 %","2,13 %","34,53 %","0,32 %","2,30 %","0,16 %","0,16 %","0,16 %","12,66 %","0,32 %"
